funddwid,projectid,fundname,type,amount
51545,63221,City Capital,Loan,1469436
52445,63252,Reso A,Loan,534000
59218,63252,City Capital,Loan,498277
51879,63260,City Capital,Loan,27709049
51631,63289,City Capital,Loan,12600000
52012,63326,City Capital,Loan,455374
51920,63345,City Capital,Loan,9648000
51753,63367,Reso A,Loan,3100000
51754,63367,City Capital,Loan,13614718
57383,63734,City Capital,Loan,12440560
57389,63734,Reso A,Loan,1500000
56508,63751,City Capital,Loan,18033642
69800,63757,Reso A,Loan,4500000
52822,63757,City Capital,Loan,54623021
50557,63760,City Capital,Loan,2612435
56544,63761,City Capital,Loan,43340000
56594,63763,City Capital,Loan,91444000
65692,63764,City Capital,Loan,51922960
76132,63765,City Capital,Loan,63684416
51952,63766,City Capital,Loan,39196337
56580,63769,City Capital,Loan,16475000
56395,63771,City Capital,Loan,14364000
56398,63771,Reso A,Loan,500000
62570,63772,City Capital,Loan,87230000
51935,63774,City Capital,Loan,8884364
54252,63775,City Capital,Loan,18415000
66787,63776,City Capital,Loan,25480000
59477,63777,City Capital,Loan,89140000
55394,63800,City Capital,Loan,7410393
51705,63808,City Capital,Loan,8273137
58121,63877,Reso A,Loan,1000000
58130,63877,City Capital,Loan,7625000
56224,63880,City Capital,Loan,21511496
51854,63883,City Capital,Loan,9625960
66831,63886,Reso A,Grant,500000
66841,63886,City Capital,Grant,10796339
54484,63913,City Capital,Loan,8930000
51889,63968,City Capital,Loan,5530176.38
51872,63974,City Capital,Loan,45093086
63545,63974,Reso A,Loan,500000
51963,64027,City Capital,Loan,54167000
59208,64027,Reso A,Loan,550000
70048,64114,Reso A,Loan,1400000
70062,64114,City Capital,Loan,36027348
51941,64232,City Capital,Loan,32849628
60728,64232,Reso A,Loan,250000
56258,64252,Reso A,Loan,1000000
56272,64252,City Capital,Loan,33076250
52014,64390,City Capital,Loan,609707
51742,64399,City Capital,Grant,17587064
59495,64406,City Capital,Loan,32296000
68156,64415,City Capital,Loan,34218445
55827,64436,City Capital,Loan,41003000
55838,64436,City Capital,Grant,4800000
56933,64492,City Capital,Loan,125877
57570,64492,Reso A,Loan,734000
52979,64543,City Capital,Loan,9017360
63621,64608,Reso A,Loan,2800000
63631,64608,City Capital,Loan,1200000
63637,64608,City Capital,Loan,8490140
51640,64671,City Capital,Loan,5760000
51966,64689,City Capital,Loan,11881220
65868,64689,Reso A,Loan,100000
71182,64727,Reso A,Grant,1000000
51638,64727,City Capital,Loan,8581132
68984,64728,City Capital,Loan,28177415
68994,64728,Reso A,Loan,2500000
55012,64736,HOME,Loan,9520000
56756,64745,City Capital,Loan,6750000
